epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,1066.65,0.39971,0.35745,0.84444,0.9868,0.98631,0.99126,0.98897,0.91195,0.49739,0.31425,0.86796,0.0002278,0.0002278,0.0002278
41,1090.25,0.363,0.34761,0.81807,0.98995,0.98943,0.99202,0.98741,0.90225,0.51452,0.31229,0.87193,0.000208,0.000208,0.000208
42,1114.1,0.35451,0.33514,0.81333,0.99083,0.99001,0.99228,0.98903,0.90943,0.50149,0.31049,0.87008,0.0001882,0.0001882,0.0001882
43,1137.76,0.35506,0.33026,0.81263,0.98865,0.98797,0.99188,0.98771,0.90695,0.49852,0.30752,0.86615,0.0001684,0.0001684,0.0001684
44,1161.68,0.34229,0.32025,0.80677,0.9893,0.98888,0.99117,0.98443,0.9042,0.49918,0.30393,0.86765,0.0001486,0.0001486,0.0001486
45,1185.62,0.34527,0.31748,0.81172,0.9876,0.99198,0.99205,0.98222,0.90572,0.49764,0.30014,0.86626,0.0001288,0.0001288,0.0001288
46,1209.44,0.34055,0.30981,0.80658,0.98767,0.99452,0.99213,0.98188,0.90645,0.49186,0.2939,0.86488,0.000109,0.000109,0.000109
47,1233.92,0.33145,0.30075,0.80546,0.98909,0.99711,0.99204,0.98671,0.90655,0.49622,0.29016,0.86776,8.92e-05,8.92e-05,8.92e-05
48,1258.31,0.32918,0.30272,0.80652,0.98959,0.99351,0.99222,0.98409,0.90861,0.49331,0.28605,0.8665,6.94e-05,6.94e-05,6.94e-05
49,1283.76,0.33183,0.29714,0.80482,0.988,0.99214,0.99199,0.9857,0.90858,0.49236,0.28464,0.86686,4.96e-05,4.96e-05,4.96e-05
50,1309.46,0.31909,0.2886,0.80045,0.98757,0.9921,0.99214,0.98631,0.91088,0.48959,0.28193,0.86712,2.98e-05,2.98e-05,2.98e-05
