epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,2298.8,0.50429,0.48069,0.85685,0.98464,0.9916,0.98984,0.9809,0.89729,0.50793,0.46789,0.84188,0.000260125,0.000260125,0.000260125
40,2388.31,0.51809,0.48099,0.8627,0.98697,0.99134,0.98775,0.98109,0.8957,0.51294,0.45626,0.84057,0.000255996,0.000255996,0.000255996
41,2478.24,0.5074,0.4738,0.85489,0.98992,0.99332,0.99156,0.97911,0.89902,0.50763,0.44292,0.84172,0.000251868,0.000251868,0.000251868
42,2566.42,0.49352,0.46425,0.85937,0.98788,0.99488,0.99196,0.98226,0.90041,0.50558,0.44126,0.8434,0.00024774,0.00024774,0.00024774
43,2655.56,0.50313,0.46372,0.8569,0.98757,0.99482,0.9922,0.97834,0.90169,0.50238,0.43643,0.84092,0.000243611,0.000243611,0.000243611
44,2744.82,0.49972,0.45863,0.85632,0.98662,0.99333,0.99077,0.98877,0.89783,0.51005,0.43315,0.84272,0.000239483,0.000239483,0.000239483
45,2833.44,0.49284,0.45342,0.85155,0.98845,0.99537,0.99169,0.98544,0.90818,0.50339,0.42701,0.84192,0.000235355,0.000235355,0.000235355
46,2922.46,0.5056,0.4553,0.8473,0.98919,0.99353,0.99119,0.9864,0.90345,0.5015,0.4192,0.84158,0.000231226,0.000231226,0.000231226
47,3011.54,0.49091,0.44918,0.84799,0.98748,0.99747,0.99213,0.98754,0.90003,0.50353,0.42264,0.84034,0.000227098,0.000227098,0.000227098
48,3102.37,0.48964,0.44738,0.85606,0.99111,0.99575,0.99195,0.98889,0.90577,0.50589,0.41419,0.83915,0.00022297,0.00022297,0.00022297
49,3193.68,0.48408,0.43253,0.85127,0.98727,0.99279,0.99016,0.9872,0.90862,0.49658,0.40923,0.83864,0.000218842,0.000218842,0.000218842
50,3283.28,0.47688,0.43212,0.85119,0.98676,0.99233,0.99093,0.98748,0.90229,0.50182,0.41208,0.83995,0.000214713,0.000214713,0.000214713
51,3372.44,0.49176,0.43159,0.84831,0.9909,0.99658,0.99181,0.98696,0.90378,0.50344,0.40033,0.84254,0.000210585,0.000210585,0.000210585
52,3463.14,0.49268,0.41442,0.85177,0.99065,0.99629,0.99176,0.9896,0.904,0.50604,0.39545,0.8427,0.000206457,0.000206457,0.000206457
53,3552.52,0.48158,0.41926,0.84704,0.99031,0.99582,0.99179,0.9886,0.90203,0.50483,0.39006,0.84144,0.000202328,0.000202328,0.000202328
54,3643.35,0.48372,0.41414,0.84986,0.98864,0.99625,0.99223,0.98767,0.90834,0.49849,0.3918,0.8404,0.0001982,0.0001982,0.0001982
