epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,1035.14,0.50816,0.3882,0.86923,0.98754,0.98672,0.99181,0.98439,0.90124,0.51418,0.31564,0.86181,0.0002278,0.0002278,0.0002278
41,1058.89,0.46313,0.37677,0.84179,0.9847,0.99416,0.99242,0.98429,0.90041,0.52382,0.32197,0.85927,0.000208,0.000208,0.000208
42,1084.2,0.465,0.36571,0.84196,0.99164,0.99568,0.99285,0.98711,0.90477,0.50096,0.3221,0.8591,0.0001882,0.0001882,0.0001882
43,1109.96,0.45961,0.36473,0.83943,0.98194,0.98934,0.99238,0.98793,0.90492,0.50645,0.32084,0.85763,0.0001684,0.0001684,0.0001684
44,1135.32,0.44886,0.3507,0.83547,0.98333,0.98789,0.99206,0.98565,0.90651,0.50156,0.31339,0.85831,0.0001486,0.0001486,0.0001486
45,1157.73,0.45257,0.34264,0.8373,0.9868,0.9916,0.99289,0.98745,0.90618,0.50264,0.30351,0.85521,0.0001288,0.0001288,0.0001288
46,1180.58,0.45032,0.34594,0.83198,0.99093,0.99632,0.99306,0.98588,0.90982,0.50117,0.29961,0.85816,0.000109,0.000109,0.000109
47,1202.49,0.44325,0.33299,0.83198,0.98782,0.99168,0.99113,0.98435,0.90864,0.49691,0.29785,0.85589,8.92e-05,8.92e-05,8.92e-05
48,1225.14,0.43738,0.32993,0.83431,0.99057,0.99171,0.99105,0.98205,0.91073,0.49976,0.29146,0.85983,6.94e-05,6.94e-05,6.94e-05
49,1246.3,0.44165,0.3293,0.83246,0.98975,0.99302,0.99081,0.98413,0.91085,0.49545,0.28928,0.8561,4.96e-05,4.96e-05,4.96e-05
50,1268.09,0.4312,0.31961,0.82635,0.98903,0.99261,0.99081,0.98388,0.90822,0.49517,0.28724,0.85558,2.98e-05,2.98e-05,2.98e-05
